municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Patrocínio do Muriaé,CRAS Patrocínio do Muriaé,CRAS,"Rua Henrique Andre de Lima, 24",Centro,36860-000,(32) 37261411,cras.patrociniodomuriae@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Paula Cândido,CRAS Paula Cândido,CRAS,Rua Almerinda Alexandrina Soares,Centro,36544-000,(32) 35371317,assistenciaspcandido@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Paulistas,CRAS Paulistas,CRAS,"Rua Padre Sampaio, 500",Centro,39765-000,(33) 99419584,crasdepaulistas@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pavão,CRAS Casa da Família (Pavão),CRAS,"Rua Joaquim Gonçalves, 178",Centro,39814-000,(33) 35351865,craspavao@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Peçanha,CRAS Peçanha,CRAS,"Rua Saldanha Marinho, 95",Bomba,39700-000,(33) 34112528,craspecanha@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedra Azul,CRAS Pedra Azul,CRAS,"Avenida Colatino Antunes, 133",Centro,39970-000,(33) 37512969,craspamg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedra Bonita,CRAS Casa da Familia (Pedra Bonita),CRAS,"Rua Nicolau Viana, 41",Centro,35364-000,(31) 38729157,craspb21@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedra do Anta,CRAS Pedra do Anta,CRAS,"Rua São Vicente, 50",Centro,36585-000,(31) 38961130,assistenciasocial@pedradoanta.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedra do Indaiá,CRAS Zita Gomes (Pedra do Indaiá),CRAS,"Avenida Primeiro de Março, 542",Centro,35565-000,(37) 33441338,secretariadeassistenciasocial@pedradoindaia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedra Dourada,CRAS Casa da Família (Pedra Dourada),CRAS,"Rua Bela Vista, 12",Parque São João,36847-000,(55) 323512773,smaspedradourada@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedralva,CRAS Centro (Pedralva),CRAS,"Rua Coronel Estevam Rezende, 59",Centro,37520-000,(35) 8433-4674,cras@pedralva.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedras de Maria da Cruz,CRAS Maria da Cruz (Pedras de Maria da Cruz),CRAS,"Avenida Montes Claros, 170",Centro,39492-000,(38) 998107895,cras@pedrasdemariadacruz.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedrinópolis,CRAS Umbelino Goncalves de Castro (Pedrinópolis),CRAS,"Rua José Severino da Cunha, 42",Centro,38178-000,(34) 33552026,acaosocial@pedrinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedro Leopoldo,CRAS Centro Sul (Pedro Leopoldo),CRAS,"Rua José Viana Sobrinho, 46",Centro,33250-024,(31) 980262483,crassul@pedroleopoldo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedro Leopoldo,CRAS Norte (Pedro Leopoldo),CRAS,"Avenida Elias Marques, 50",Teotonio Batista de Freitas,33600-997,(31) 36608074,crasnorte@pedroleopoldo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pedro Teixeira,CRAS Pedro Teixeira,CRAS,"Rua Jacinto Eugênio, 77",Centro,36148-000,(32) 32821224,secretariadeassistenciasocial@pedroteixeira.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pequeri,CRAS Casa das Familias (Pequeri),CRAS,"Rua Manoel Gervasio, 534",Centro,36610-000,(32) 9808-8367,seps@pequeri.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pequi,CRAS Dona Etelvira (Pequi),CRAS,"Rua Padre João Maina, 95",Centro,35667-000,(37) 32781857,secasocial@pequi.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Perdigão,CRAS Casa da Familia (Perdigão),CRAS,"Rua Joaquim Macedo,, 517",Centro,35545-000,(37) 32870181,secretariadesenvolvimentop@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Perdizes,CRAS Augusta Flausino Dias (Perdizes),CRAS,"Rua Antonio Tome de Resende, 339",Ferrerinha,38170-000,(34) 36631237,cras@perdizes.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Perdões,CRAS Casa da Familia Dona Sergina (Perdões),CRAS,"Avenida José Domingos do Nascimento, 17",Palestina,37260-000,(35) 38644879,cras.perdoes@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Perdões,CRAS II - Casa da Familia Jovita Amada Alves (Perdões),CRAS,"Rua Adalberto Resende, 803",Nossa Senhora das Graças,37260-000,(35) 38647370,cras2.perdoes@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Periquito,CRAS Periquito,CRAS,"Avenida Senador Getúlio de Carvalho, 266",Centro,35118-000,(33) 33229507,cras@periquito.mg.gpv.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pescador,CRAS Padre João (Pescador),CRAS,"Rua Dr. João Batista Miranda, 510",Centro,35114-000,(33) 987622514,craspescadormg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piau,CRAS Piau,CRAS,Rua Dr loures,Centro,36157-000,(32) 32541212,cras@piau.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piedade de Caratinga,CRAS Piedade de Caratinga,CRAS,Praça Adriano Sabino,Centro,35325-000,(33) 33238039,craspiedadecaratinga@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piedade de Ponte Nova,CRAS Piedade de Ponte Nova,CRAS,"Rua Doutor Soares Martins, 162",Centro,35382-000,(31) 38715146,cras@piedadedepontenova.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piedade do Rio Grande,CRAS Piedade do Rio Grande,CRAS,"Rua Antônio Marciano da Silva, 231",Centro,36227-000,(32) 33351122,assistenciasocialprg@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piedade dos Gerais,CRAS Piedade dos Gerais,CRAS,"Rua Nosso Senhor do Bonfim, 693",Centro,35476-000,(55) 521182869,cras@piedadedosgerais.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pimenta,"CRAS ""Rafael da Silveira Barbosa"" (Pimenta)",CRAS,"Avenida Aristides Garcia Leão, 213",Jk,35585-000,(37) 34121427,cras@pimenta.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pingo-d'Água,CRAS Pingo-d'Água,CRAS,"Avenida Dep. Raimundo Albergaria, 62",Centro,35348-000,(33) 33536100,craspd@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pintópolis,CRAS Pintópolis,CRAS,"Rua B, 65",Centro,39317-000,(38) 36318274,socialpintopolis@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piracema,CRAS Itamar Martins de Melo (Piracema),CRAS,"Rua Elza Ferreira Santos, 10",Centro,35536-000,(37) 988420455,cras@piracema.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirajuba,CRAS Osvaldo Bernardes Filho (Pirajuba),CRAS,"Rua Benedito Ribeiro da Silva, 333",Santo Antônio,38210-000,(34) 34260164,assistenciasocial@pirajuba.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piranga,CRAS Piranga,CRAS,Rua Girassol,Vila do Carmo,36480-000,(31) 37461853,craspiranga@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piranguçu,CRAS Central (Piranguçu),CRAS,"Rua Caetano Lopes da Silva, 110",Centro,37511-000,(35) 36431485,cras@pirangucu.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piranguinho,CRAS Piranguinho,CRAS,"Praça Coronel Braz, 76",Centro,37508-000,(35) 36441478,social@piranguinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirapetinga,CRAS Pirapetinga,CRAS,"Rua Osorio Vieira da Fonseca, 100",Centro,36730-000,(32) 34651500,craspirapetinga@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirapora,CRAS Bairro Nossa Senhora Aparecida (Pirapora),CRAS,"Rua Comandante Santiago Dantas, 915",Nossa Senhora Aparecida,39270-012,(38) 37406198,setas.cras.nsa@pirapora.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirapora,CRAS Bom Jesus (Pirapora),CRAS,"Rua Maria Alves Pamplona, 249",Bom Jesus 2,39270-000,(38) 37406225,sefam.crasbomjesus@pirapora.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirapora,CRAS Cidade Jardim (Pirapora),CRAS,"Rua Professora Alzira Ferreira, 321",Cidade Jardim,39272-292,(38) 37406056,cidadejardimcras@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pirapora,CRAS São Geraldo (Pirapora),CRAS,"Rua Manaus, 412",São Geraldo,39276-262,(38) 37406003,crassgeraldo.pirapora@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piraúba,CRAS Vovó Mariana (Piraúba),CRAS,"Rua Theofilo Augusto de Oliveira, 75",Piraubinha,36170-000,(32) 35731575,craspirauba@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pitangui,CRAS Pitangui,CRAS,"Rua Professora Maria Martins, 94",Jk,35650-000,(37) 32714298,cras@pitangui.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Piumhi,CRAS Piumhi,CRAS,"Rua Padre Abel, 1361",Pindaíbas,37925-000,(37) 33719272,cras@prefeiturapiumhi.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Planura,CRAS Planura,CRAS,"Rua Goias, 187",Vila Paiva,38220-000,(34) 34273344,smapsocial@planura.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poço Fundo,CRAS Casa da Família (Poço Fundo),CRAS,"Avenida Vereador Antonio Batista de Carvalho, 768",Mãe Rainha,37757-000,(35) 32831950,ccraspf@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Dr Javier Torrico Moraes (Poços de Caldas),CRAS,"Rua João Roberto Bonifácio, 55",São Sebastião Ii,37706-247,(35) 36972855,crassulpocos@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Engenheiro Felisberto César Souza Pinto (Poços de Caldas),CRAS,"Rua São José, 221",Jardim Country Club,37701-353,(35) 36974230,crasoeste.pc@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Irmã Líbera Carminatti (Poços de Caldas),CRAS,"Rua Capitão Fausto de Paiva, 2",Jardim Bela Vista,37701-267,(35) 36972240,crascentro.pocos@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS LESTE - Rodolfo Kaique Fonseca Teodoro (Poços de Caldas),CRAS,"Rua Coronel Virgílio Silva, 2444",Dom Bosco,37704-620,(35) 37136098,crasleste1.pc@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Leste 2 (Poços de Caldas),CRAS,"Rua Miguel Calixto de Morais, 1153",Jardim Itamaraty V,37709-168,(35) 36972242,crasleste2@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Rural (Poços de Caldas),CRAS,"Avenida Mansur Fayha, 1677",Bortolan,37704-722,(35) 36972241,crasvolantepc@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poços de Caldas,CRAS Sul Esperança (Poços de Caldas),CRAS,"Rua Luis Celso Rocha, 147",Jardim Esperança Iii,37713-518,(35) 37157912,crassulesperanca@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pocrane,CRAS Familia Unida Pocrane (Pocrane),CRAS,"Rua Sagrado Coração, 155",Centro,36960-000,(33) 33161112,craspocranemg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pompéu,CRAS Pompéu,CRAS,"Rua São Pedro, 325",São José,35640-000,(37) 35232367,cras@pompeu.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ponte Nova,CRAS Novo Horizonte e Adjacências (Ponte Nova),CRAS,"Rua Édson Nogueira Gomes, 51",Novo Horizonte,35430-770,(31) 38811412,cras.fatima@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ponte Nova,CRAS Sagrado Coração de Jesus e Adjacências (Ponte Nova),CRAS,"Avenida Vereador João Evangelista de Almeida, 1446",Sagrado Coração de Jesus,35430-096,(31) 38175842,crassagradocoracaodejesus@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ponte Nova,CRAS Triângulo e Adjacências (Ponte Nova),CRAS,"Praça Anibal Lopes, 3",Triangulo,35430-001,(31) 38176008,jussaracppn@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ponto Chique,CRAS Casa das Famílias (Ponto Chique),CRAS,Rua João Ramos,Centro,39328-000,(38) 998008537,socialpchique@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ponto dos Volantes,CRAS Ponto dos Volantes,CRAS,"Rua Curitiba, 205",Centro,39615-000,(33) 37338010,cras.pvolantes@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Porteirinha,CRAS Casa das Famílias (Porteirinha),CRAS,"Rua Dr. Clóves Fábio de Almeida, 397",Ouro Branco,39520-000,(38) 38312588,cras@porteirinha.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Porteirinha,CRAS Tocandira (Porteirinha),CRAS,Praça da Matriz,Tocandira,39520-000,(38) 998650349,crastocandira@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Porto Firme,CRAS Porto Firme,CRAS,"Rua Dom Silverio, 251",Centro,36568-000,(31) 38931464,cras.portofirme@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Poté,CRAS Poté,CRAS,"Rua João Cambui, 177",Centro,39827-000,(33) 35251301,cras@pote.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Central (Pouso Alegre),CRAS,"Avenida Pinto Cobra, 2015",Centro,37550-145,(35) 998610044,crascentral_ceu@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Nordeste (Pouso Alegre),CRAS,"Rua Geraldo dos Reis, 85",Faisqueira,37555-202,(35) 31123745,crasnordeste@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Sudeste (Pouso Alegre),CRAS,"Avenida Ver. Antonio da Costa Rios, 861",São Geraldo,37558-059,(35) 31123824,crassg.pousoalegre@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Sudoeste (Pouso Alegre),CRAS,"Rua Ouro Fino, 62",Jardim Amazonas,37550-570,(35) 31123771,crassudoeste@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Sul (Pouso Alegre),CRAS,"Rua Hélio Jacy Gouveia Schiefler, 670",Jardim Aeroporto,37560-185,(35) 31123836,crassul@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alegre,CRAS Vereador Dr. Firmo da Motta Paes (Pouso Alegre),CRAS,"Avenida Camilo de Barros Laraia, 480",Cidade Jardim,37556-640,(35) 31123813,crascidadejardim.pa@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pouso Alto,CRAS Pouso Alto,CRAS,"Rua Haroldo Russano, 102",Centro,37468-000,(35) 33641227,cras@pousoalto.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Prados,CRAS Coqueiro (Prados),CRAS,Rua do Coqueiro,Zona Rural,36320-000,(08) 007112021,cras@prados.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Prados,CRAS Pinheiro Chagas (Prados),CRAS,"Rua Sebastião da Silva Velho, 3",Pinheiro Chagas,36320-000,(08) 007112021,cras@prados.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Prata,CRAS Silmone Lúcia da Silva Cardoso (Prata),CRAS,"Alameda Irmão Pedro Dias Neto, 140",Colina Park Boulevard,38140-000,(34) 34315537,craspratamg@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pratápolis,CRAS Pratápolis,CRAS,"Rua Mateus Martins Borges, 200",Novo Horizonte 2,37970-000,(35) 35331633,cras@pratapolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Pratinha,CRAS Pratinha,CRAS,"Avenida Francisco Machado Borges, 209",Zacarias Pereira,38960-000,(34) 36371488,social@pratinha.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Presidente Bernardes,CRAS Cacau Quintão (Presidente Bernardes),CRAS,"Avenida Caetano Moreira, 4",Praia,36475-000,(32) 35381394,cras@presidentebernardes.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Presidente Juscelino,CRAS Presidente Juscelino,CRAS,"Rua:Dr.Paulo Salvo, 70",Centro,39245-000,(38) 37241333,crasparauna@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Presidente Kubitschek,CRAS Presidente Kubitschek,CRAS,"Rua Tiradentes, 61",Centro,39135-000,(38) 35451217,social@pk.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Presidente Olegário,CRAS Presidente Olegário,CRAS,"Rua Catiara, 200",Planalto,38750-000,(34) 38110177,cras@po.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Prudente de Morais,CRAS Casa da Família (Prudente de Morais),CRAS,"Rua Prefeito João Dias Jeunnon, 48",Centro,35738-000,(31) 37110785,crasprudentedemorais@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Quartel Geral,CRAS Prefeito Tiago Caetano de Araujo (Quartel Geral),CRAS,"Rua João Alves Bernardino, 326",Centro,35625-000,(37) 35431127,cras@quartelgeral.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Queluzito,"CRAS ""Prefeito Paschoal Fausto Valle"" (Queluzito)",CRAS,"Rua Francisco Osvaldo de Albuquerque, 225",Leozina Albuquerque,36424-000,(31) 38060026,cras@queluzito.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Raposos,CRAS Angelina Bellomo de Oliveira (Raposos),CRAS,"Rua Marajó, 92",Morro das Bicas,34400-000,(31) 35433680,crasraposos@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Raul Soares,CRAS Dos Distritos (Raul Soares),CRAS,"Rua José de Souza Lima, 56",Centro,35350-000,(33) 33515039,crassve2017@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Raul Soares,CRAS Bom Jesus (Raul Soares),CRAS,"Rua Doutor Gerardo Grossi, 125",Centro,35350-000,(33) 33512012,crasbomjesus2020@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Raul Soares,CRAS Vila Barbosa (Raul Soares),CRAS,"Rua Manoel Máximo Barbosa, 142",Vila Barbosa,35350-000,(33) 33512378,crasvilabarbosa@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Recreio,CRAS Casa das Familias (Recreio),CRAS,Rua Júlio Martins,Botafogo,36740-000,(32) 34442585,smdsrecreio@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Reduto,CRAS Reduto,CRAS,"Avenida Pedro Cláudio Conrado, 12",Centro,36920-000,(33) 333784234,crasreduto2013@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Resende Costa,CRAS Resende Costa,CRAS,"Rua Vereador Antônio Salomão, 60",Expedicionários,36340-000,(32) 33542520,assistenciasocial@resendecosta.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Resplendor,CRAS Resplendor,CRAS,"Avenida Getúlio Vargas, 37",Centro,35230-000,(33) 32633512,cras1.resplendor@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ressaquinha,CRAS Acolhendo Familias (Ressaquinha),CRAS,"Praça Dom Pedro II, 10",Centro,36270-000,(32) 33411405,cras@ressaquinha.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Riachinho,CRAS Riachinho,CRAS,"Rua B, 51",Claristo Gontijo Ferreira,38640-000,(38) 36781496,acaosocial@riachinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Riacho dos Machados,"CRAS ""Casa da Família"" (Riacho dos Machados)",CRAS,"Rua Francisco Lopes Saraiva, 135",Riacho Novo,39529-000,(38) 997285820,socialriacho@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Alterosa (Ribeirão das Neves),CRAS,"Avenida Francisco Bento Rodrigues, 475",Alterosa,33821-235,(31) 36255034,cras.alterosa@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Ceu das Artes (Ribeirão das Neves),CRAS,"Alameda dos Tucanos, 13",Jardim Colonial,33809-084,(31) 36275395,cras.ceudasartes@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Jardim Dona Sinhá (Ribeirão das Neves),CRAS,"Rua José Inácio, 55",Areias,33920-010,(31) 995902984,cras.areias@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Justinopolis (Ribeirão das Neves),CRAS,"Rua Maria Amélia, 201",Justinópolis,33900-760,(31) 36381659,cras.justinopolis@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Luar (Ribeirão das Neves),CRAS,"Rua Corcovado, 6",Granjas Primavera,33940-060,(31) 34965104,cras.luar@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Primavera (Ribeirão das Neves),CRAS,"Rua Conde Monte Cristo, 433",Flamengo,33933-170,(31) 36393069,cras.urca@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS San Genaro (Ribeirão das Neves),CRAS,"Rua Treze, 123",San Genaro,33825-300,(31) 36264059,cras.sangenaro@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Sevilha (Ribeirão das Neves),CRAS,"Rua Maria das Neves Figueiredo Carlos, 200",Sevilha a,33855-230,(31) 36256700,cras.sevilha@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão das Neves,CRAS Veneza (Ribeirão das Neves),CRAS,"Rua Alexandre França, 247",Veneza,33820-040,(31) 36262669,cras.veneza@ribeiraodasneves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ribeirão Vermelho,CRAS Esperança (Ribeirão Vermelho),CRAS,Rua Luciana Cunha s/n,Centro,37264-000,(35) 38671173,bemestar.rv@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Acima,CRAS Jatobá (Rio Acima),CRAS,"Rua Dalila Gouveia Wanderley Costa, 894",Jatobá,34300-000,(31) 35451793,cras@prefeiturarioacima.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Acima,CRAS Vila Duarte (Rio Acima),CRAS,"Rua Paulino Duarte, 120",Vila Duarte,34300-000,(31) 35452398,crasviladuarte@prefeiturarioacima.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Casca,CRAS Rio Casca,CRAS,"Rua Capitao Pena, 38",Centro,35370-000,(31) 971191847,crasriocasca@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio do Prado,"CRAS ""casa das Famílias"" (Rio do Prado)",CRAS,"Rua João Fernandes, 101",Centro,39940-000,(33) 999101701,riodopradosmps@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Doce,CRAS Rio Doce,CRAS,"Travessa Augusto Trindade, 64",Centro,35442-000,(31) 983880998,coordenadorcras@riodoce.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Espera,CRAS Rio Espera,CRAS,"Rua Professor Carlos de Carvalho, 19",Centro,36460-000,(31) 37531499,secretariasocial@outlook.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Manso,CRAS Rio Manso,CRAS,"Rua Astolfo Teixeira de Morais,, 57",Centro,35485-000,(31) 35731502,cras@riomanso.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Novo,CRAS Carmelita Mello Ribeiro (Rio Novo),CRAS,"Rua Pereira da Silva, 33",Centro,36150-000,(32) 32742503,cras@rionovo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Paranaíba,CRAS Recanto das Familias (Rio Paranaíba),CRAS,"Rua Joaquim Rodrigues de Miranda, 65",Olhos Dagua,38810-000,(34) 38552113,crasrecandodasfamilias@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Pardo de Minas,CRAS Jardim (Rio Pardo de Minas),CRAS,"Rua Arlindo Dias Silveira, 165",Jardim Florestal,39530-000,(38) 91361824,crasjardimrp@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Pardo de Minas,CRAS Rural (Rio Pardo de Minas),CRAS,"Rua Osório Batista, 52",Jardim Florestal,39530-000,(38) 38241824,assistenciasocial@riopardo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Piracicaba,CRAS Rio Piracicaba,CRAS,"Rua Orozimbo Gomes Figueiredo, 250",Córrego São Miguel,35940-000,(31) 38541058,crasriopi@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Pomba,CRAS Rio Pomba,CRAS,"Rua Messias Pereira Baia, 81",Prefeito Geraldo Homem de Faria,36180-000,(32) 34330034,socialriopomba@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Rio Preto,CRAS Professor Gerson Salles (Rio Preto),CRAS,"Rua Jose Fernandes Fagundes, 105",Atalaia,36130-000,(32) 985134591,cras@riopreto.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
